CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
CUR_colonial_government_ADJ;앤틸리스령;Antillean;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CYR_absolute_monarchy;키레나이카 토후국;Emirate of Cyrenaica;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
FEZ_absolute_monarchy;테잔 토후국;Emirate of Fezzan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CYR_hms_government;키레나이카 토후국;Emirate of Cyrenaica;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CYR_colonial_government;키레나이카 토후국;Emirate of Cyrenaica;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CYR;키레나이카 토후국;Cyrenaica;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CYR_ADJ;키레나이카령;Cyrenaican;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
FEZ;페잔;Fezzan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
FEZ_ADJ;페잔령;Fezzan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
FEZ_colonial_government;페잔-가다메스 자치령;Fezzan-Ghadames;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
FEZ_colonial_government_ADJ;페잔-가다메스령;Fezzan-Ghadames;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SHG;상하이;Shanghai;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SHG_ADJ;상하이령;Chinese;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SHG_colonial_government;상하이 공공조계;Shanghai International Settlement;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SHG_sar_government;상하이 공공조계;Shanghai International Settlement;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SHG_mandate_government;상하이 공공조계;Shanghai International Settlement;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
QGD_mandate_government;칭다오 공공조계;Qingdao International Settlement;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
WEI_mandate_government;웨이하이 공공조계;Weihai International Settlement;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
IDO_colonial_government;동인도 자치령;The East Indies;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
IDO_colonial_government_ADJ;네덜란드령;Dutch;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ICU;인도차이나;Indochina;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ICU_ADJ;인도차이나령;Indochinese;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ICU_proletarian_dictatorship;인도차이나 연합;Indochinese Union;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ICU_presidential_dictatorship;인도차이나국;Indochinese State;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ICU_colonial_government;인도차이나 연방;Indochinese Federation;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ICU_hms_government;인도차이나 연방;Indochinese Federation;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ARF_proletarian_dictatorship;아랍 인민연합;Arab People's Union;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ARF_presidential_dictatorship;아랍 공화국;The Arab Republic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ARF_populist_dictatorship;아랍 공화국;The Arab Union;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ARF_nationalist_dictatorship;아랍국;The Arab State;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ARF;아랍 연방;The Arab Federation;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ARF_ADJ;아랍령;Arab;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
FMS;말라야;Malaya;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
FMS_ADJ;말라야령;Malayan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
FMS_colonial_government;말라야 연합주;Federated Malay States;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
FMS_colonial_government_ADJ;말라야령;British Malayan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
FMS_hms_government;말라야 연합;Malayan Union;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
FMS_hms_government1;말라야 연방;Federation of Malaya;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
KED;케다;Kedah;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
KED_ADJ;케다령;Malay;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
JOH;조호르;Johore;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
JOH_ADJ;조호르령;Malay;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
TER;트렝가누;Terengganu;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
TER_ADJ;트렝가누령;Malay;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
UNT;국제연합 신탁통치령;United Nations Trust Territory;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
UNT_ADJ;신탁통치령;United Nations;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R01;인민해방군;People's Liberation Army;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R01_ADJ;반군령;Rebel;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R02;국민저항군;National Resistance;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R02_ADJ;반군령;Rebel;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R03;자유전선;The Liberation Front;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R03_ADJ;반군령;Rebel;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R04;정의운동;Movement for Justice;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R04_ADJ;반군령;Rebel;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R05;자유투사회의;Council of Freedom Fighters;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R05_ADJ;반군령;Rebel;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R06;반대운동;The Opposition Movement;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R06_ADJ;반군령;Rebel;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R07;인민자유국;People's Free State;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R07_ADJ;반군령;Rebel;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R08;혁명전선;The Revolutionary Front;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R08_ADJ;반군령;Rebel;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R09;동맹연합군;Allied United Forces;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R09_ADJ반군령;;Rebel;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R10;전당애국전선;All-Party Patriotic Front;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
R10_ADJ;반군령;Rebel;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
IBU;이베리아;Iberia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
IBU_proletarian_dictatorship;이베리아 인민연합;The Iberian Union;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
IBU_ADJ;이베리아령;Iberian;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GCL;그란콜롬비아;Gran Colombia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GCL_ADJ;그란콜롬비아령;Gran Colombian;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AOF;서아프리카;West Africa;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AOF_ADJ;서아프리카령;West African;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AEF;적도아프리카;Equatorial Africa;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AEF_ADJ;적도아프리카령;Equatorial African;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
RHL;라인란트;Rhineland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
RHL_democracy;라인란트 공화국;Rhenish Republic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
RHL_presidential_dictatorship;라인란트 공화국;Rhenish Republic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
RHL_mandate_government;라인란트-프리슬란트;Rhineland-Palatinate;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
RHL_ADJ;라인안트령;Rhenish;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ROH;라만랜드;Rahmanland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ROH_ADJ;라만랜드령;Rohingyan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ESM;동수마트라;East Sumatra;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ESM_ADJ;동수마트라령;East Sumatran;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
OG1;점령구;Occupation Zone;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
OG1_ADJ;점령구;Occupied;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
OG2;점령구;Occupation Zone;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
OG2_ADJ;점령구;Occupied;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
OG3;점령구;Occupation Zone;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
OG3_ADJ;점령구;Occupied;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
OG4;점령구;Occupation Zone;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
OG4_ADJ;점령구;Occupied;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CHI_socialist_democracy;중화인민공화국;People's Republic of China;Chine;China;;China;;;;;;;;;x;;;;;;;;;;;;;;;;
CHI;중국;The Republic of China;Chine;China;;China;;;;;;;;;x;;;;;;;;;;;;;;;;
CHI_ADJ;중국령;Chinese;Chinois;Chinesisch;;China;;;;;;;;;x;;;;;;;;;;;;;;;;
CHI_absolute_monarchy;중화제국;The Empire of China;Empire Chinois;Das Chinesische Reich;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CHI_hms_government;중화제국;The Kingdom of China;Empire Chinois;Das Chinesische Reich;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CHI_hms_government1;중화제국;The Kingdom of China;Empire Chinois;Das Chinesische Reich;;;;;;;;;;;x;;;;;;;;;;;;;;;;
KHU;후제스탄;Khuzestan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
KHU_ADJ;후제스탄;Khuzestani;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK;에조;The Republic of Ezo;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK_ADJ;에조령;Ezo;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK_hms_government;홋카이도국;Hokkaido;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK_hms_government_ADJ;홋카이도령;Ainu;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK_hms_government1;홋카이도국;Hokkaido;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK_hms_government1_ADJ;홋카이도령;Ainu;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK_colonial_government;홋카이도;Hokkaido;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK_colonial_government_ADJ;홋카이도령;Ainu;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK_mandate_government;홋카이도;Hokkaido;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK_mandate_government_ADJ;홋카이도령;Ainu;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK_absolute_monarchy;홋카이도국;Hokkaido;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
HOK_absolute_monarchy_ADJ;홋카이도령;Ainu;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SUL;술루;Sulu;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SUL_ADJ;술루령;Sulu;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
PRU;쾨니히스베르크;K?igsberg;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
PRU_ADJ;쾨니히스베르크령;K?igsberger;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
PRU_hms_government;프로이센 왕국;Prussia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
PRU_hms_government_ADJ;프로이센령;Prussian;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
PRU_hms_government1;프로이센 왕국;Prussia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
PRU_hms_government1_ADJ;프로이센령;Prussian;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
PRU_absolute_monarchy;프로이센 왕국;Prussia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
PRU_absolute_monarchy_ADJ;프로이센령;Prussian;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
XEA_socialist_democracy;유라시아 국가연합;Union of Eurasian States;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
XEA_socialist_democracy_ADJ;소련령;Soviet;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
