CODE;ENGLISH;;;;;;;;;;;;;
EVTDESC8011906;Kim Jong-il was a North Korean politician who served as the second Supreme Leader of North Korea from 1994 to 2011. He led North Korea from the 1994 death of his father Kim Il-sung, the first Supreme Leader until his own death in 2011, when he was succeeded by his son, Kim Jong-un. Kim ruled North Korea as a repressive and totalitarian dictatorship. Kim assumed supreme leadership during a period of catastrophic economic crisis amidst the dissolution of the Soviet Union, on which it was heavily dependent for trade in food and other supplies, which brought a famine. While the famine had ended by the late 1990s, food scarcity continued to be a problem throughout his tenure. Kim strengthened the role of the military by his Songun ("military-first") policies, making the army the central organiser of civil society. After his death, Kim was designated the "Eternal General Secretary" of the WPK and the "Eternal Chairman of the National Defence Commission", in keeping with the tradition of establishing eternal posts for the dead members of the Kim dynasty.;;;;;;;;;;;;;
superstate_bank_loan_requested;Received Loan from Superstate;;;;;;;;;;;;;
superstate_bank_loan_requested_desc;The supra-national organisation that our nation is currently in has issued a loan to us.;;;;;;;;;;;;;
superstate_bank_loan_title;Request a Loan from the Superstate Central Bank;;;;;;;;;;;;;
superstate_bank_loan_desc;$COUNTRY$ is currently a member of a supra-national currency union hence we do not have a central bank that can print money or issue loans to the $COUNTRY_ADJ$ Government. This is major hinderance on our ability to secure other loans from organisations outside of the superstate.;;;;;;;;;;;;;
EVTDESC8015100;In July 1949, in order to prevent Chinese Communist Party-sponsored agitation in political Tibet, the Tibetan government expelled the (Nationalist) Chinese delegation in Lhasa. Both the PRC and their predecessors the Kuomintang (ROC) had always maintained that Tibet was a part of China. The PRC also proclaimed an ideological motivation to liberate the Tibetans from a theocratic feudal system. The People's Liberation Army crossed the Jinsha River on 6 or 7 October 1950 and defeated the Tibetan army by 19 October. Instead of continuing with the military campaign, China asked Tibet to send representatives to Beijing to negotiate an agreement. The Dalai Lama believes the draft agreement was written by China, and Tibetan representatives were not allowed to suggest any alterations. China did not allow the Tibetan representatives to communicate with the Tibetan government in Lhasa. The Tibetan delegation was not authorised by Lhasa to sign, but ultimately submitted to pressure from the Chinese to sign anyway, using seals which had been specifically made for the purpose.;;;;;;;;;;;;;
EVTDESC8015101;In 1949, seeing that the Communists were gaining control of China, the Kashag expelled all Chinese connected with the Chinese government, over the protests of both the Kuomintang and the Communists. Tibet was its own de facto country before 1951 but both the Republic of China (ROC) and the People's Republic of China (PRC) have maintained China's claim to sovereignty over Tibet. The Chinese Communist government led by Mao Zedong, which came to power in October, lost little time in asserting a new PRC presence in Tibet.;;;;;;;;;;;;;
EVTDESC8013802;On October 1, 1955, PRC leader Mao Zedong designated Xinjiang a "Uyghur Autonomous Region", creating a regionwide Uyghur identity which overtook Uyghurs' traditionally local and oasis-based identities. Although the Soviet Union initially suppressed the publications of its past Uyghur studies programs, after the Sino-Soviet split in the 1960s, it revived its Uyghur studies program as part of an "ideological war" against China. Uyghur nationalist historian Turghun Almas and his book Uyghurlar (The Uyghurs) and Uyghur nationalist accounts of history were galvanised by Soviet stances on history.;;;;;;;;;;;;;
EVTDESC8013805;In the late summer of 1949, the People's Liberation Army drove into the Hexi Corridor in Gansu Province and pressed toward Xinjiang. At the time, Xinjiang was ruled by a coalition government based in Dihua (now Urumqi), which comprised Chinese Nationalists (KMT) and representatives from the former Second East Turkestan Republic (ETR), a regime founded with the support of the Soviet Union in the Three Districts in northwestern Xinjiang during the Ili Rebellion in 1944 and then disbanded in 1946. Under the coalition government which ruled Xinjiang from 1946 to 1949, the KMT controlled most of the province and leaders of the former ETR retained autonomy in the Three Districts. In the fall of 1949, the Chinese Communists reached separate agreements with the political leadership of the KMT and the Three Districts. The Chinese Communists persuaded the KMT provincial and military leadership to surrender. The Soviet Union induced the leaders of the former ETR to accede to the Chinese Communists.;;;;;;;;;;;;;
EVTDESC20201800;Theocracy is a form of government in which a deity of some type is recognised as the supreme ruling authority, giving divine guidance to human intermediaries that manage the day-to-day affairs of the government. As $COUNTRY$ aspires to be a theocratic government, a constitutional provision to give effect to this was promulgated. Under the Constitution of $COUNTRY$, the nation is to be governed by religious clerics. This is to ensure that the religious way of life is maintained in the nation and protected from the forces of secularisation. As such, the composition of the Executive branch must always be packed with traditionalist, religious politicians.;;;;;;;;;;;;;
EVTDESC20201801;$COUNTRY$'s hybrid political system is sui generis, it encompasses both elements of democracy and theocracy. The constitution blends the liberal notion of popular sovereignty with the  rule  of  the religious jurisconsult. It establishes appointed institutions dominated by the clergy, such as the office of the Leader and the Guardian Council, while stipulating four tiers of popularly elected institutions: president, parliament, local councils, and the Assembly of Experts. An election is held approximately every 5 years and the electable parties are only traditionalist, conservative and centrist ones. Pop majority ideology will determine which party will win the election.;;;;;;;;;;;;;
EVTDESC80114301;On 26 October 1967, twenty-six years into his reign as Shah ("King"), he took the ancient title Shahanshah ("Emperor" or "King of Kings") in a lavish coronation ceremony held in Tehran. He said that he chose to wait until this moment to assume the title because in his own opinion he "did not deserve it" up until then. He is also recorded as saying that there was "no honour in being Emperor of a poor country" (which he viewed Iran as being until that time).;;;;;;;;;;;;;
EVTDESC80114302;The 2,500-year celebration of the Persian Empire consisted of an elaborate set of festivities that took place on 12-16 October 1971 to celebrate the anniversary of the founding of the Imperial State of Iran and the Achaemenid Empire by Cyrus the Great. The intent of the celebration was to demonstrate Iran's ancient civilization and history and to showcase its contemporary advances under His Imperial Majesty Mohammad Reza Shah, the last Shah of Iran. Some later historians came to think that this excess contributed to events that resulted in the Iranian Revolution and eventual replacement of the Persian monarchy with an Islamic republic under the Grand Ayatollah Ruhollah Khomeini, the leader of the revolution, who was supported by a wide range of people, including various leftist and Islamist organizations, and student movements. The event has been described as the most expensive party ever held.;;;;;;;;;;;;;
EVTDESC8011433;In late October 1979, the exiled and dying Shah was admitted into the United States for cancer treatment. In Iran there was an immediate outcry, and both Khomeini and leftist groups demanded the Shah's return to Iran for trial and execution. On 4 November 1979 youthful Islamists, calling themselves Muslim Student Followers of the Imam's Line, invaded the US embassy compound in Tehran and seized its staff. Revolutionaries were angry because of how the Shah had fled abroad while the Embassy-based American CIA and British intelligence organized a coup d'etat to overthrow his nationalist opponent who was a legitimately elected official. The students held 52 American diplomats hostage for 444 days, which played a role in helping to pass the constitution, suppressing moderates, and otherwise radicalising the revolution. Holding the hostages was very popular and continued even after the death of the Shah. The hostage crisis ended with the signing of the Algiers Accords in Algeria on 19 January 1981. The hostages were formally released to United States custody the following day, just minutes after Ronald Reagan was sworn in as the new American president.;;;;;;;;;;;;;
EVTDESC8011435;The Nojeh coup d'etat was a plan to overthrow the newly established Islamic Republic of Iran and its government of Abolhassan Banisadr and Ruhollah Khomeini. The plan involved officers and servicemen from the infantry, air force, army and secret service, and was largely halted by the arrest of hundreds of officers on 9-10 July 1980 at Nojeh Air Base, near Hamedan, although substantial sabotage damage had already been carried out, with only 28 tanks (of 159) operational in the frontline Khuzestan Province. The plan was organised by Colonel Muhammad Baqir Bani-Amiri, a retired Gendermerie officer, with the Shah's last Prime Minister, Shapour Bakhtiar, contributing financial support and providing his contacts and authority. Bakhtiar's liaison with the conspirators in Iran was the businessman Manucher Ghorbanifar, who headed the logistics branch of the Niqab network which organised the civilian part of the plot. According to then-President Abolhassan Banisadr, the government discovered eight major cells, and exposed the plotters' plan, leading to the arrests. Khomeini ordered those arrested for involvement in the coup to be executed, but Banisadr used legal ruses to delay the executions.;;;;;;;;;;;;;
EVTDESC8011436;The Majlis (Iran's Parliament) impeached Banisadr in his absence on 21 June 1981, allegedly because of his moves against the clerics in power, in particular Mohammad Beheshti, then head of the judicial system. Khomeini himself appears to have instigated the impeachment, which he signed the next day. According to Katzman, Banisadr believed the clerics should not directly govern Iran and was perceived as supporting the People's Mujahedin of Iran. Even before Khomeini had signed the impeachment papers, the Revolutionary Guard had seized the Presidential buildings and gardens, and imprisoned writers at a newspaper closely tied to Banisadr. Over the next few days, they executed several of his closest friends, including Hossein Navab, Rashid Sadrolhefazi and Manouchehr Massoudi. Ayatollah Hussein-Ali Montazeri was among the few people in the government in support of Banisadr, but he was soon stripped of his powers. At the same time, the Iranian government outlawed all political parties, except the Islamic Republican Party. Government forces arrested and imprisoned members of other parties, such as the People's Mujahedin, Fadaian Khalq, Tudeh, and Paikar.;;;;;;;;;;;;;
EVTDESC8011437;Khomeini's health declined several years prior to his death. After spending eleven days in Jamaran hospital, Ruhollah Khomeini died on 3 June 1989 after suffering five heart attacks in just ten days, at the age of 89 just before midnight. Grand Ayatollah Hussein-Ali Montazeri, a former student of Khomeini and a major figure of the Revolution, was chosen by Khomeini to be his successor as Supreme Leader and approved as such by the Assembly of Experts in November 1985. The execution of Mehdi Hashemi in September 1987 on charges of counterrevolutionary activities was a blow to Ayatollah Montazeri, who knew Hashemi since their childhood. In 1989 Montazeri began to call for liberalization, freedom for political parties. Following the execution of thousands of political prisoners by the Islamic government, Montazeri told Khomeini: "Your prisons are far worse than those of the Shah and his SAVAK." After a letter of his complaints was leaked to Europe and broadcast on the BBC, a furious Khomeini ousted him in March 1989 from his position as official successor. This allowed Ali Khamenei to become the next Supreme Leader;;;;;;;;;;;;;
EVTDESC201912;Absolute monarchy (or absolutism as doctrine) is a form of monarchy in which the monarch holds supreme autocratic authority, principally not being restricted by written laws, legislature, or customs. These are often hereditary monarchies. In contrast, in constitutional monarchies, the head of state's authority derives from or is legally bound or restricted by a constitution or legislature. The popularity of the notion of the absolute monarchy declined substantially after the French Revolution, which promoted theories of government based on popular sovereignty. Some monarchies have a weak or symbolic legislature and other governmental bodies which the monarch can alter or dissolve at will. As the King has absolute powers, his characteristics will be important in the governance of the nation.;;;;;;;;;;;;;
EVTDESC201910;The $COUNTRY_ADJ$ King has passed away today. This has come as a shock to many in $COUNTRY$ who have grown accustomed to his presence in $COUNTRY_ADJ$ politics. As the monarchy is a hereditary one, the Crown will pass to the King's heir. He will be crowned King shortly after the royal funeral and then we will find out what sort of person our new monarch shall be.;;;;;;;;;;;;;
EVTDESC201911;An elective monarchy is a monarchy ruled by an elected monarch, in contrast to a hereditary monarchy in which the office is automatically passed down as a family inheritance. The manner of election, the nature of candidate qualifications, and the electors vary from case to case. Historically it is not uncommon for elective monarchies to transform into hereditary ones over time, or for hereditary ones to acquire at least occasional elective aspects. At the start of the 20th century, the first monarchs of several newly independent nations were elected by parliaments: Norway is the prime example. Previously, following precedent set in newly independent Greece, new nations without a well-established hereditary royal family often chose their own monarchs from among the established royal families of Europe, rather than elevate a member of the local power establishment, in the hope that a stable hereditary monarchy would eventually emerge from the process.;;;;;;;;;;;;;
EVTDESC22602;Population ageing is an increasing median age in a population due to declining fertility rates and rising life expectancy. Most countries have rising life expectancy and an ageing population (trends that emerged first in developed countries, but which are now seen in virtually all developing countries). This is the case for every country in the world except the 18 countries designated as "demographic outliers" by the UN. The aged population is currently at its highest level in human history. The UN predicts the rate of population ageing in the twenty-first century will exceed that of the previous century. The number of people aged 60 years and over has tripled since 1950, reaching 600 million in 2000 and surpassing 700 million in 2006. It is projected that the combined senior and geriatric population will reach 2.1 billion by 2050.;;;;;;;;;;;;;
ageing_population;Ageing Population;;;;;;;;;;;;;
ageing_population_desc;A combination of better healthcare and longer lifespans has created a situation where there are a much larger proportion of senior citizens in the country than is healthy.;;;;;;;;;;;;;
EVTDESC1412073;Our diplomacy has proven successful: $COUNTRY$ has been granted full autonomy, on the condition that friendly ties be maintained with the former overlord. This promise can however be easily broken. The $COUNTRY_ADJ$ government will now quickly establish embassies and contacts with other government in search of support of our claim of being a free, sovereign nation home to all $COUNTRY_ADJ$ people. Crowds have gathered in $CAPITAL$ to cheer on our Independence Day!;;;;;;;;;;;;;
EVTDESC80158691;Despite attempts by the President to interfere with the impeachment process and bully his party's senators to vote against impeachment, enough senators ultimately decided to vote in favour of impeachment to allow for the sitting President to be removed. This was however not received well by the now ex-President and his supporters who now agitate for succession from the United States to preserve their way of life. The new President will have to prepare for the possibility of a new civil war in the United States.;;;;;;;;;;;;;
EVTDESC8015874;Early in the morning on November 4, with vote counts still going on in many states, President Trump claimed that he had won. Although the final results were eventuallly called for Biden, Trump refused to acknowledge that Biden had won. At the same time, Trump blocked the General Services Administration from carrying out a transfer of power. The White House also ordered government agencies not to cooperate with the Biden transition team in any way and began a rapid agenda to salt the earth and lock in their policies before Joe Biden can take over. In addition, the Trump campaign filed a number of lawsuits in multiple states, including Georgia, Michigan, Nevada, and Pennsylvania. These lawsuits however ultimately failed to produce any results. Amidst all of this, there is rising anger against the Democrats by Republicans with some even calling for succession to 'stop the steal'. The day of the handover has finally arrived and the President-elect has to choose whether to cave in to Trump or to resist him, with the possibility of a civil war breaking out.;;;;;;;;;;;;;
EVTDESC8015875;The Republicans are apparently more willing to break up the Union than expected. State legislatures controlled by them have passed resolutions to create an autonomous, separate Union government that they claim will respect their interests in a way that a Democrat government never will. Under the Constitution, secession is prohibited so unless we are ready to dishonour the founding fathers' wishes, we will have to fight them to reunite the nation. Our intelligence chiefs estimate that the Republican states will make a move against the federal government in about a months time.;;;;;;;;;;;;;
EVTDESC8015876;There used to be a time when the Statue of Liberty stood as a symbol of a united America however this is no longer the case. Today, the statue is viewed through the lens of partisanship where "Liberty" for one group is no longer mutually compatible with that of another. This schism eventually proved irreconcilable and the disunited Union could no longer sustain itself. This culminated in several states issuing a declaration of independence to free themselves of a federal government they do not respect and cannot accept. These states want to be free again, free to be themselves, warts and all but only time will tell whether their aspirations of a government for their people by their people can last the annals of time and the scrutiny of history.;;;;;;;;;;;;;
EVTDESC801586331;On April 20, 2010, an offshore oil drilling rig, the Deepwater Horizon, exploded and burned off the coast of Louisiana in the Gulf of Mexico. Dozens of workers fled the flames and were rescued by lifeboats and helicopters, however 11 were killed and 17 were injured in the incident. The rig burned for 36 hours before sinking. On April 24, it was discovered that a damaged wellhead was leaking oil into the Gulf of Mexico at a rapid rate. For approximately 90 days, tens of thousands of barrels of oil leaked into the ocean every day, resulting in the largest oil spill in United States history. The wellhead was successfully contained in mid-July, stopping the flow, and efforts are ongoing to cap the wellhead and create a replacement well. Despite significant efforts to protect coastlines, the spill has had devastating impacts on the environment and the economies of the Gulf Coast states. The Obama administration has ordered well operator BP responsible for all cleanup costs, which are expected to run in the tens of billions of dollars. The spill has resulted in negative public approval ratings of the U.S. government, the Obama administration, and BP, for their handling of the spill, with BP suffering the worst ratings.;;;;;;;;;;;;;
EVTDESC80158641;On April 15, 2013, two bombs exploded near the finish line of the Boston Marathon in Boston, Massachusetts, killing three people and injuring over 280. Three days later, suspects Tamerlan and Dzhokhar Tsarnaev led Boston police on a high speed chase, after killing one officer at the Massachusetts Institute of Technology. Tamerlan was killed in a shootout with police and a seriously injured Dzhokhar was taken into custody in nearby Watertown the following day.;;;;;;;;;;;;;
communal_violence;Nationwide Communal Violence;;;;;;;;;;;;;
communal_violence_desc;There are intense clashes between the majority and minority races on the streets of the country.;;;;;;;;;;;;;
EVTDESC8015873;The George Floyd protests were a series of police brutality protests that began in Minneapolis in the United States on May 26, 2020. Civil unrest and protests began as part of international responses to the death of George Floyd, a 46-year-old African-American man who was killed during an arrest after Derek Chauvin, a Minneapolis Police Department officer, knelt on Floyd's neck for nearly eight minutes as three other officers looked on and prevented passers-by from intervening. Local protests began in the Minneapolis-Saint Paul metropolitan area of Minnesota before quickly spreading nationwide and to over 2,000 cities and towns in over 60 countries in support of the Black Lives Matter (BLM) movement. Polls in summer 2020 estimated that between 15 million and 26 million people had participated at some point in the demonstrations in the United States, making the protests the largest in U.S. history.;;;;;;;;;;;;;
EVTDESC8015870;On 3 January 2020, a United States drone strike near Baghdad International Airport targeted and killed Iranian major general Qasem Soleimani while he was on his way to meet Iraqi Prime Minister Adil Abdul-Mahdi in Baghdad. Soleimani was commander of the Quds Force, one of five branches of Iran's Islamic Revolutionary Guard Corps (IRGC), and was considered the second most powerful person of Iran, subordinate to Supreme Leader Ali Khamenei. The strike occurred during the 2019-20 Persian Gulf crisis, which began after the U.S. withdrew from the 2015 nuclear deal with Iran in 2018, reimposed sanctions, and accused Iranian elements of fomenting a campaign to harass U.S. forces in the region. U.S. officials justified the Soleimani strike claiming it was necessary to stop an "imminent attack", though later clarifying the legal justification of the action as being taken "in response to an escalating series of attacks...to protect United States personnel, to deter Iran from conducting or supporting further attacks...and to end Iran's strategic escalation of attacks".;;;;;;;;;;;;;
EVTDESC8015872;Ukraine International Airlines Flight 752 (PS752) was a scheduled international passenger flight from Tehran to Kyiv. On 8 January 2020, the Boeing 737-800 operating the route was shot down shortly after takeoff from Tehran Imam Khomeini International Airport by the Iranian Islamic Revolutionary Guards Corp (IRGC). All 176 passengers and crew died. The Iranian government initially denied responsibility for the airplane's destruction, but investigation by Western intelligence agencies and the general public revealed that the aircraft was shot down by a surface-to-air missile launched by Iran. The Iranian government kept denying for at least three days, before finally admitting that the military had indeed shot down the civilian airliner. The revelation prompted mass protests calling for the removal of Supreme Leader Ali Khamenei, which broke out in Iran on 13 January in response to the shootdown and government denial.;;;;;;;;;;;;;
EVTDESC8015866;The U.S. Congress had mandated increased military aid to Ukraine over the period of Trump's presidency. Congress appropriated $400 million in military aid to Ukraine for fiscal year 2019, to be used to spend on weapons and other equipment as well as programs to assist the Ukrainian military in combating threats from Putin's Russia and Russian-backed separatists of the self-proclaimed separatist entities in eastern Ukraine. In the July 25 call with Trump, Zelensky thanked Trump for the U.S.'s "great support in the area of defense", an apparent reference to military aid, and expressed an interest in acquiring more missiles. Trump replied, "I would like you to do us a favor though," suggesting an investigation into CrowdStrike, an American cybersecurity firm that investigated the cyberattacks against the Democratic National Committee in 2015 and 2016. CrowdStrike was one of three firms whose analysis assisted the U.S. intelligence community in determining that Russian intelligence was responsible for the DNC hack. Trump also asked Zelensky to investigate Joe Biden and his son.;;;;;;;;;;;;;
EVTDESC8015867;The Trump-Ukraine scandal was a political scandal in the United States involving efforts by U.S. president Donald Trump to coerce Ukraine and other foreign countries into providing damaging narratives about then-2020 Democratic Party presidential candidate Joe Biden as well as misinformation relating to Russian interference in the 2016 United States elections. Trump enlisted surrogates within and outside his official administration, including his personal lawyer Rudy Giuliani and Attorney General William Barr, to pressure Ukraine and other foreign governments to cooperate in supporting conspiracy theories concerning American politics. The scandal reached public attention in mid-September 2019 due to a whistleblower complaint made in August 2019. The complaint raised concerns about Trump using presidential powers to solicit foreign electoral intervention in the 2020 U.S. presidential election.;;;;;;;;;;;;;
EVTDESC8015868;In response to the whistleblower's report, on November 25, 2019, House Intelligence Committee Chairman Adam Schiff published a letter stating that next steps towards impeachment will be taken when a committee report regarding the impeachment inquiry will be sent to the House Judiciary Committee when Congress returns from its Thanksgiving recess. The Republicans of the House Committees had released a countering report the previous day, saying in part that the evidence does not support accusations. This report concluded the inquiry stage of the impeachment process and the house then voted on the approved articles of impeachment. Trump was impeached on December 18, 2019. The impeachment trial of Donald Trump, the 45th and incumbent president of the United States, began in the U.S. Senate on January 16, 2020.;;;;;;;;;;;;;
EVTDESC8015869;Closing arguments were given by the prosecution and defense teams on February 3. That day, Democratic senator Joe Manchin, who was undecided on the trial vote, proposed the Senate censure the president to prevent his behavior to go "unchecked by the Senate", though there appeared to be little support for it. Senator Rand Paul (R-KY) gave a speech reiterating the question which Chief Justice Roberts declined to read. On February 5, the Senate voted on whether or not to convict the president on the charges and evidence as they were presented and debated upon. The senators voted 52 to 48 to find Trump not guilty on the charge of abuse of power. All 45 Democrats, Independent senators Bernie Sanders and Angus King, and Republican senator Mitt Romney voted guilty. On the second charge, the Senate voted 53 to 47, in a party-line vote, to find him not guilty on the charge of obstruction of Congress. On February 6, the day after the trial ended, Trump gave a speech to a large group of supporters to "discuss our country's victory on the impeachment hoax". He held up a copy of The Washington Post with the headline "Trump Acquitted", saying "It's the only good headline I've ever had in The Washington Post.";;;;;;;;;;;;;
EVTDESC1610134;An economic forum was held in $CAPITAL$ where all the regional economic administrators were invited to discuss the next direction that the $COUNTRY_ADJ$ economy should take for the next five years. A coalition of heavy industry managers have urged the $MONARCHTITLE$ to favour heavy industry investment while the union of consumer goods industry bosses have encouraged the expansion of their industry instead. The service industry lobby have also put forward interesting proposals to further grow their sector. The last group to submit their proposals were the $COUNTRY_ADJ$ generals who have called for more military R&D funding and resources to boost weapons production. These generals stressed that the nation's first priority should always be the military.;;;;;;;;;;;;;
EVTDESC8015847;A new consciousness of the inequality of American women began sweeping the nation, starting with the 1963 publication of Betty Friedan's best-seller, The Feminine Mystique, which explained how many housewives felt trapped and unfulfilled, assaulted American culture for its creation of the notion that women could only find fulfillment through their roles as wives, mothers, and keepers of the home, and argued that women were just as able as men to do every type of job. In 1966 Friedan and others established the National Organization for Women (NOW) to act for women as the NAACP did for African Americans. Protests began, and the new women's liberation movement grew in size and power, gained much media attention, and, by 1968, had replaced the Civil Rights Movement as the U.S's main social revolution.;;;;;;;;;;;;;
EVTDESC8015848;Amid the Cold War, the United States entered the Vietnam War, whose growing unpopularity fed already existing social movements, including those among women, minorities, and young people. President Lyndon B. Johnson's Great Society social programs and numerous rulings by the Warren Court added to the wide range of social reform during the 1960s and 1970s. Feminism and the environmental movement became political forces, and progress continued toward civil rights for all Americans. The Counterculture Revolution swept through the nation and much of the western world in the late sixties and early seventies, further dividing Americans in a "culture war" but also bringing forth more liberated social views.;;;;;;;;;;;;;
EVTDESC80158631;The Patriot Act was enacted in direct response to the September 11 attacks on the World Trade Center in New York City and the Pentagon in Arlington, Virginia, as well as the 2001 anthrax attacks, to dramatically strengthen national security. Opponents of the law have criticised its provision for indefinite detention of immigrants, permission to law enforcement to search a home or business without the owner's or the occupant's consent or knowledge under certain circumstances, the expanded use of National Security Letters, which allows the Federal Bureau of Investigation (FBI) to search telephone, e-mail, and financial records without a court order;;;;;;;;;;;;;
EVTDESC80158632;The United States housing bubble was a real estate bubble affecting over half of the U.S. states. It was the impetus for the subprime mortgage crisis. Housing prices peaked in early 2006, started to decline in 2006 and 2007, and reached new lows in 2012. On December 30, 2008, the Case-Shiller home price index reported its largest price drop in its history. The credit crisis resulting from the bursting of the housing bubble is an important cause of the Great Recession in the United States.;;;;;;;;;;;;;
EVTDESC80158633;In September 2008, the United States and most of Europe entered the longest post-World War II recession, often called the "Great Recession". Multiple overlapping crises were involved, especially the housing market crisis, a subprime mortgage crisis, soaring oil prices, an automotive industry crisis, rising unemployment, and the worst financial crisis since the Great Depression. Following his election victory by a wide electoral margin in November 2008, Bush's successor - Barack Obama - signed into law the American Recovery and Reinvestment Act of 2009, which was a $787 billion economic stimulus aimed at helping the economy recover from the deepening recession. From 2009 to 2010, the 111th Congress passed major legislation such as the Patient Protection and Affordable Care Act, informally known as Obamacare, the Dodd-Frank Wall Street Reform and Consumer Protection Act and the Don't Ask, Don't Tell Repeal Act, which were signed into law by President Obama.;;;;;;;;;;;;;
superpower_rebels_timer;Undermining a Rival Superpower's Sphere;;;;;;;;;;;;;
superpower_rebels_timer_desc;Our national intelligence agency is currently undertaking operations to undermine the sphere of our rival superpower.;;;;;;;;;;;;;
instigate_rebels_superpower_title;Interfere in a Rival Superpower's Sphere;;;;;;;;;;;;;
