CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
capital_of_israel_title;성지;The Holy City;;;;;;;;x;;;;;;;;;;;;;
capital_of_israel_desc;요르단이 중동 전쟁에서 요르단강 서안과 동예루살렘을 불법적으로 점령했을 때, 그들은 성지에서의 유대인의 기도를 막음으로써 하늘에 죄를 범했습니다. 더 나쁜 것은, 그들이 솔로몬 신전의 유일한 흔적인 서쪽 성벽 밖에 빈민가를 조성했다는 것입니다. 역사는 예루살렘이 분열되면 유대인들의 학살과 국가적 굴욕도 따라온다는 사실을 알려줍니다. 유럽의 집단학살 같은 역사가 반복되지 않도록 할 것입니다. $COUNTRY$은(는) 예루살렘을 분단되지 않는 영원한 수도로 선포해야 합니다.;When Jordan unlawfully seized the West Bank and East Jerusalem following the Arab-Israeli War, they committed a crime against Heaven by blocking the Jewish people from prayer at its holy sites. Even worse, they have created a slum outside the Western Wall, the only remnant of the Temple of Solomon. History shows us that, while Jerusalem is divided, massacres of the Jews and national humiliation is unavoidable. Like the pogroms of Europe, we will ensure this history does not repeat - we have our strength through the State of $COUNTRY$, and must proclaim Jerusalem our undivided, eternal capital.;;;;;;;;x;;;;;;;;;;;;;
EVT_8000319_NAME;이슬람 원리주의자 알제리 내전 승리;Islamist Victory in the Algerian Civil War;;;;;;;;x;;;;;;;;;;;;;
EVT_8000319_DESC;알제리 내전은 일차적으로 정부와 이슬람 반군 간의 내전입니다. 반군은 나뉘었지만, 이들 가운데 승리한 집단은 다른 파벌들과 달리 이슬람국가 창설을 추구했고, 정부를 압박하는 대신 불안정하게 만들고 전복시켜 성소를 '정화'하려 했습니다. 그들의 구호는 "합의도, 휴전도, 대화도 없다"였습니다. 이들은 전반적으로 불안한 분위기를 조성하고 테러범들을 고용해 보안군은 물론 민간인을 겨냥했습니다. 이를 통해 자신들의 영토를 통제하면서 서방세계에 테러를 가하고 모든 이슬람 세계를 하나로 묶을 계획입니다.;The Algerian Civil War was primarily a war between the government and Islamist rebels. The opposition was fractured, but the ultimately victorious group, unlike the other factions, pursued the creation of an Islamic state and did not seek to pressure the government into concessions but to destabilise and overthrow it, to "purge the land of the ungodly." Their slogan inscribed on all communiques was: "no agreement, no truce, no dialogue." The group created an atmosphere of general insecurity and employed terrorism, targeting not only security forces but civilians. Now, in control of their own territory, they plan to bring terror to the West and unite all Islam.;;;;;;;;x;;;;;;;;;;;;;
EVT_8000319_A;그리고 그것은 정확히 우리가 할 일이다.;And that is precisely what we will do;;;;;;;;x;;;;;;;;;;;;;
EVT_8007700_NAME;인구학적 위기;Demographic crisis;;;;;;;;;;x
EVT_8007627_DESC;영국은 국제연합의 분할안 권고에도 불구하고 국경 분쟁을 막기 위해 팔레스타인에 아랍인 단일국가를 설립하기로 결정했습니다. 하지만 유대인과 아랍인 사이의 긴장감이 너무 높은 것이 문제입니다. 한편 아랍인들은 자신들의 주권을 수호하기 위해 무기를 들기로 결심했습니다.;In spite of the recommendations of the UN Partition Plan, the British decided to set up a single Jewish state in Palestine, to prevent quarelling over borders. However, the tensions between Jews and Arabs are far too high to bear and Arabs decide to take up arms in fight for their statehood.;;;;;;;;;;X
EVT_8007627_A;알았다.;OK;;;;;;;;;;X
EVT_8007640_NAME;팔레스타인 내전(1948);Palestine Civil War of 1948;;;;;;;;;;X
EVT_8007640_DESC;1948년에 발발한 팔레스타인 전쟁은 국제연합의 분할안에 관한 투표와 제1차 중동 전쟁의 공식 종전 사이에 옛 영국령 팔레스타인에서 일어난 전쟁을 말합니다. 이스라엘은 국제연합 총회 결의안을 통해 배정받은 대부분의 지역을 유지했고, 팔레스타인에 배정된 지역의 60%(자파, 리다, 라믈 지역, 갈릴리, 네게프 일부 지역, 텔아비브제리아 도로와 요르단강 서안의 일부 지역) 정도를 장악했습니다. 트란스요르단은 요르단강 서안의 나머지 지역을 장악하여 군정에 들어갔고, 이집트군은 가자지구를 장악했습니다.;The 1948 Palestine war refers to the war that occurred in the former British Mandate of Palestine between the United Nations vote on the partition plan and the official end of the first Arab-Israeli war. At the issue of the war, the State of Israel kept most of the area that had been allocated by the UN General Assembly Resolution. Israel also took control of almost 60 percent of the area allocated to the proposed Arab state, including the Jaffa, Lydda and Ramle area, Galilee, some parts of the Negev, a wide strip along the Tel-Aviv-Jerusalem road and some territories in the West Bank. Transjordan took control of the remainder of the West Bank, putting it under military rule, and the Egyptian military took control of the Gaza Strip.;;;;;;;;;;X
EVT_8007640_A;케케묵은 갈등이다.;The conflict was long coming;;;;;;;;;;X
EVT_8007640_B;전쟁을 막기 위해 총력을 다한다.;Use all power to prevent war;;;;;;;;;;X
EVT_8007649_NAME;이스라엘 방위전력;Israeli Defense Forces;;;;;;;;;;X
EVT_8007649_DESC;이스라엘 방위군은 제2차 알리야(1904년 ~ 1914년)를 시작으로 뉴이슈브의 유대인 준군사조직에 뿌리를 둡니다. 이러한 종류의 첫 조직은 1907년 9월에 설립된 바르-기오라입니다. 제1차 세계대전 동안 하가나/이스라엘 방위군의 선봉은 영국 육군의 일부인 시온 뮬 군단과 유대인 군단이었습니다. 1920년 4월 유대인에 대한 아랍인 폭동 이후 이슈브 지도부는 전국적인 지하방위조직이 필요하다 여겼고, 같은 해 6월에 하가나를 설립했습니다.;The Israeli Defense Forces (IDF) traces its roots to Jewish paramilitary organizations in the New Yishuv, starting with the Second Aliyah (1904 to 1914). The first such organization was Bar-Giora, founded in September 1907. During World War I the forerunners of the Haganah/IDF were the Zion Mule Corps and the Jewish Legion, both of which were part of the British Army. After the Arab riots against Jews in April 1920, the Yishuv's leadership saw the need to create a nationwide underground defense organization, and the Haganah was founded in June of the same year.;;;;;;;;;;X
EVT_8007649_A;검은 깃발을 게양한다.;Raise the Ink Flag!;;;;;;;;;;X
EVT_8007650_NAME;이집트의 중동전쟁 선언;Egypt proclaims the Arab-Israeli War;;;;;;;;;;X
EVT_8007650_DESC;1948년 5월 14일, 다비드 벤구리온은 이스라엘의 독립을 선언했습니다. 몇 시간 만에 두개의 이집트 부대가 공중엄호를 받으며 남부 이스라엘로 들어갔으며, 동시에 예루살렘과 예루살렘-텔아비브 고속도로에서 전투가 벌어졌고, 이스라엘군은 두개의 아랍인 마을과 아크레시를 점령했습니다. 이집트 전투기 두대가 텔아비브를 폭격했는데, 조종사 중 한명은 총에 맞아 쓰러졌고 한명은 포로로 잡혔습니다. 아랍군은 크파르 에지온의 이스라엘 키부츠를 점령하고 주민들을 학살했습니다. 네게프와 갈릴레이에 있는 수많은 정착지들은 고립돼 아랍의 모든 공격에 노출됐음에도 자신들의 무기에만 의존해야 했습니다. 성급하게 동원된 이스라엘 육군은 아랍군의 주요 진지를 제거하고, 전진을 막고, 방어선의 빈틈을 막기 위해 공격적으로 행동해야 했습니다.;On 14 May 1948, David Ben-Gurion declared the independence of the state of Israel. Within hours, two Egyptian columns with air cover entered southern Israel, while fighting erupted in Jerusalem and on the Jerusalem-Tel Aviv highway, where Israeli forces captured two Arab villages and the city of Acre. Two Egyptian Air Force Spitfires bombed Tel Aviv. One of them was shot down and its pilot taken prisoner. Arab forces captured the Israeli kibbutz of Kfar Etzion and massacred its inhabitants. Numerous settlements in the Negev and Galilee were isolated and exposed to Arab attack on all sides, and had to rely on their own armories for defense. The hastily mobilized Israeli Army had to engage in offensive actions to remove Arab forces from key positions, block the advance of their columns, and rush to seal gaps in Israel's defenses.;;;;;;;;;;X
EVT_8007650_A;아랍 형제들과 함께 한다.;Join the Arab brothers;;;;;;;;;;X
EVT_8007650_B;전쟁에는 나가지 않는다.;Stay out of war;;;;;;;;;;X
EVT_8007651_NAME;트란스요르단의 중동전쟁 선언;Transjordan proclaims the Arab-Israeli War;;;;;;;;;;X
EVT_8007652_NAME;시리아의 중동전쟁 선언;Syria proclaims the Arab-Israeli War;;;;;;;;;;X
EVT_8007653_NAME;레바논의 중동전쟁 선언;Lebanon proclaims the Arab-Israeli War;;;;;;;;;;X
EVT_8007654_NAME;이라크의 중동전쟁 선언;Iraq proclaims the Arab-Israeli War;;;;;;;;;;X
EVT_8007655_NAME;트란스요르단-팔레스타인 연합;Union of Transjordan and Palestine;;;;;;;;;;X
EVT_8007655_DESC;팔레스타인 아랍인 대부분은 트란스요르단의 국왕 압둘라 1세의 군대에 희망을 걸었습니다. 그러나 사실 국왕은 영국령 팔레스타인 위임통치령을 가능하면 더 많이 합병하려 했으므로, 팔레스타인에 아랍인 국가를 세우려 하지 않았습니다. 아랍 연맹, 그리고 유대인 당국과 접촉하는 이중적 행동을 하기도 했습니다.;The majority of Palestinian Arab hopes lay with the Arab Legion of Transjordan's monarch, King Abdullah I, but he had no intention of creating a Palestinian Arab-run state, since he hoped to annex as much of the territory of the British Mandate of Palestine as he could. He was playing a double-game, being just as much in contact with the Jewish authorities as with the Arab League.;;;;;;;;;;X
EVT_8007655_A;팔레스타인은 우리 것이다.;Palestine is ours;;;;;;;;;;X
EVT_8007660_NAME;아랍의 중동 전쟁 승리;Total Arab victory in Arab-Israeli War;;;;;;;;;;X
EVT_8007660_DESC;아랍 국가들이 흠잡을데 없이 협력하고 팔레스타인 반군도 도움을 주면서, 아랍 연합군은 이스라엘을 쉽게 무너뜨렸습니다. 이스라엘의 꿈은 다시 꿈으로 전락했고, 아랍인 국가 팔레스타인이 세워질 것입니다.;The Arab states managed to cooperate flawlessly and, with the help of Palestinian rebels, crushed a nascent Jewish state. The possibility of creation of Israel is a dream once more and the Arab state of Palestine may now be formed.;;;;;;;;;;X
EVT_8007660_A;유대인 정착민들을 추방한다.;Expel the Jewish settlers;;;;;;;;;;X
EVT_8007660_B;정착민들을 그대로 둔다.;Let the settlers stay;;;;;;;;;;X
EVT_8007661_A;가자를 지켜낸다.;Protect Gaza;;;;;;;;;;X
EVT_8007662_NAME;유대인의 중동 전쟁 전술적 승리;Tactical Jewish victory in Arab-Israeli War;;;;;;;;;;X
EVT_8007662_DESC;처음의 기습 이후, 이스라엘군은 아랍의 진군을 쉽게 막아냈습니다. 아랍 국가들은 잘 협력하지도, 적지에서 팔레스타인 반군을 잘 활용하지도 못했습니다. 새로 독립한 이스라엘의 군대는 아랍인들을 밀어냈습니다. 국제연합의 분할안보다 넓은 땅을 유대인들에게 보상해야 합니다.;After an initial period of surprise, the Arab advance was stopped by Israeli troops. The Arab states failed to cooperate successfully or make good use of Palestinian rebels on the enemy's territory. Forces of the newly independent Israel pushed Arabs back and brought the conflict onto ethnically Arab lands. It's time to end the war and reward Jews with more land than they originally were promised by the UN Partition Plan.;;;;;;;;;;X
EVT_8007662_A;알았다.;OK;;;;;;;;;;X
EVT_8007669_NAME;팔레스타인인 탈출;Nakba - Palestinian exodus;;;;;;;;;;X
EVT_8007669_DESC;팔레스타인인 탈출은 1948년 팔레스타인 전쟁 당시 70만명이 넘는 팔레스타인 아랍인들이 도망치거나 쫓겨난 사건을 말합니다. 아랍인들은 동포들이 시온주의자들의 고의적인 선동과 총검으로 인해 고향을 쫓겨나거나 떠났다고 주장합니다.;The 1948 Palestinian exodus, also known as the Nakba, occurred when more than 700,000 Palestinian Arabs fled or were expelled from their homes, during the 1948 Palestine war. Arabs left because they were ordered to, and deliberately incited into panic, by their own leaders who wanted the field cleared for the 1948 war. The Arabs charge that their people were evicted at bayonet-point and by panic deliberately incited by us Zionists.;;;;;;;;;;X
EVT_8007669_A;떠나게 놔둔다.;Let them leave;;;;;;;;;;X
EVT_8007670_NAME;귀환법;Aliyah - Law of Return;;;;;;;;;;X
EVT_8007670_DESC;귀환법 5710-1950호은 1950년 7월 5일 이스라엘 의회가 제정한 법으로, 유대인들의 조상의 고국인 이스라엘에 귀환한 권리를 선언하는 동시에 그들의 이민을 용이하게 합니다. 해당 법은 다음과 같이 적습니다. '모든 유대인은 이스라엘에 올 권리가 있습니다.' 이민 문제에 대한 후속법률은 1952년 국적법에 포함돼 처리됐습니다. 1970년 이스라엘 의회는 유대인이 아닌 배우자와 가족들에게도 적용 범위를 늘리도록 개정했습니다.;The Law of Return 5710-1950 was enacted by the Knesset, Israel's Parliament, on July 5, 1950. The Law of Return declares the right of Jews to come to Israel, claimed to be their ancestral homeland, and to facilitate their immigration. The Law stated: 'Every Jew has the right to come to this country as an oleh.' Follow-up legislation on immigration matters was contained in the Nationality Law of 1952. The Law of Return was modified in 1970 to include non-Jews with a Jewish grandparent, and their spouses.;;;;;;;;;;X
EVT_8007670_A;알았다.;OK;;;;;;;;;;X
EVT_8007671_NAME;티란해협 폐쇄;Closure of Straits of Tiran;;;;;;;;;;X
EVT_8007671_DESC;1967년 5월, 나세르 $MONARCHTITLE$은(는) 소련에게서 이스라엘의 시리아 공격이 임박했다는 거짓정보를 받았습니다. 이에 나세르는 정반대의 정보에도 불구하고 1967년 5월 14일 시리아와의 공동방위협정을 이유로 전면동원을 선언했습니다. 이스라엘의 시리아 침공 위협은 아랍권 지도자들에게 심각하게 여겨졌고, 외국 관측통들은 이스라엘의 시리아 공습이 임박했다고 의심했습니다. 이스라엘은 이집트에게 시나이에서 병력을 철수할 것을 요구합니다. 그렇다면 이쪽은 이스라엘을 홍해에서 폐쇄하는 것이 논리적으로 맞습니다. 수에즈를 통제하고 있으므로 티란해협을 폐쇄할 수 있습니다.;In May 1967, $MONARCHTITLE$ Nasser received false intelligence reports from the Soviet Union that an Israeli attack on Syria was imminent. In spite of signals to the contrary, Nasser declared full mobilisation in Egypt as of 14 May 1967, citing the joint defence agreement with Syria. Israel's threats to invade Syria appeared serious to Arab leaders, and foreign observers suspected that an Israeli strike on Syria was imminent. Israel demands that we withdraw our forces from Sinai. Our next logical step is to blockade Israel from the Red Sea - while we control the Suez, we can close the Straits of Tiran.;;;;;;;;;;X
EVT_8007671_A;해협을 폐쇄한다.;Close the straits;;;;;;;;;;X
EVT_8007671_B;이스라엘의 요구에 따른다.;Obey Israel;;;;;;;;;;X
EVT_8007672_NAME;1967년의 선제공격;Pre-emptive attack of 1967;;;;;;;;;;X
EVT_8007672_DESC;$FROMCOUNTRY$이(가) 우리가 홍해로 접근하지 못하게 티란해협을 폐쇄했습니다. 이전부터 티란해협의 법적 지위는 국제적인 논란의 대상이 되었습니다. 서구 강대국들과 이스라엘은 해당 해협을 국제수로로 여겼지만, 아랍인들은 자신들에게 통행을 규제할 권리가 있다고 믿었고, 이스라엘은 다른 강대국들의 지지를 받아 아랍인들의 주장은 법적 근거가 없다고 반박했습니다. 1967년 이스라엘은 해협 폐쇄를 전쟁행위나 전쟁 정당화로 간주하겠다는 선언을 1957년에 이어 되풀이했습니다. 만약 물러서지 않는다면, 또 다른 가능성이 있습니다. 지금 방심을 노려 선제공격을 취하는 것입니다.;$FROMCOUNTRY$ has blockaded us from the Red Sea and closed the the Straits of Tiran. The Straits were regarded by the Western powers and Israel as an international waterway, but its legal status was the subject of international controversy. The Arabs believed that they had the right to regulate passage, while Israel, with the support of other major world powers, countered that the Arab claims were legally not supportable. In 1967, Israel reiterated declarations made in 1957 that any closure of the Straits would be considered an act of war, or a justification for war. However, if they do not back down, there is another possibility: we could attack now, and catch them off their guard.;;;;;;;;;;X
EVT_8007672_A;기습을 명령한다!;Order the surprise attack!;;;;;;;;;;X
EVT_8007672_B;스스로가 미끼가 될 수는 없다.;We cannot let ourselves be baited;;;;;;;;;;X
EVT_8007673_NAME;1967년의 긴장;Tensions of 1967;;;;;;;;;;X
EVT_8007673_DESC;이전부터 티란해협의 법적 지위는 국제적인 논란의 대상이 되었습니다. 서구 강대국들과 이스라엘은 해당 해협을 국제수로로 여겼지만, 아랍인들은 자신들에게 통행을 규제할 권리가 있다고 믿었고, 이스라엘은 다른 강대국들의 지지를 받아 아랍인들의 주장은 법적 근거가 없다고 반박했습니다. 1967년 이스라엘은 해협 폐쇄를 전쟁행위나 전쟁 정당화로 간주하겠다는 선언을 1957년에 이어 되풀이했습니다.;The Straits of Tiran were regarded by the Western Powers and Israel as an international waterway, but its legal status was the subject of international controversy. The Arabs believed that they had the right to regulate passage, while Israel, with the support of other major world powers, countered that the Arab claims were legally not supportable. In 1967, Israel reiterated declarations made in 1957 that any closure of the Straits would be considered an act of war, or a justification for war.;;;;;;;;;;X
EVT_8007673_A;그래, 전쟁이야말로 원하던 바다!;Yes, war is what we want!;;;;;;;;;;X
EVT_8007673_B;점진적으로 줄인다.;Deescalate;;;;;;;;;;X
EVT_8007674_NAME;6일 전쟁에서의 아랍 연합;Arab coalition in Arab-Israeli War of 1967;;;;;;;;;;X
EVT_8007674_DESC;전쟁 전날 이집트는 7개 사단(4개 보병사단, 2개 기갑사단, 1개 기계화사단), 4개 독립보병여단, 독립기갑여단 4개 등 시나이에서 약 16만명의 병력을 밀집시켰습니다. 이런 가운데 이집트, 시리아, 요르단의 동원도를 높여 이스라엘에 압박을 주려는 조치도 이어갔습니다. 시리아군은 총 7만 5천 명의 병력을 국경을 따라 집결시켰습니다. 요르단군은 국경에 5만 5천 명의 병력과 300대의 전차를 주둔시켰는데, 그 중 250대가 미국의 M48 패튼, 상당한 규모의 M113 APC, 새로운 기계화보병대대, 그리고 미국식 사관학교의 훈련을 받은 낙하산부대이며, 12개 포대와 81mm 박격포 6개 포대를 보유했습니다.;On the eve of the war, Egypt massed approximately 100,000 of its 160,000 troops in the Sinai, including all of its seven divisions (four infantry, two armoured and one mechanized), four independent infantry brigades and four independent armoured brigades. In the meantime, he continued to take actions intended to increase the level of mobilization of Egypt, Syria and Jordan, in order to bring pressure on Israel. Syria's army had a total strength of 75,000 and amassed them along the Syrian border. Jordan's army had 55,000 troops and 300 tanks along the Jordanian border, 250 of which were U.S. M48 Pattons, sizable amounts of M113 APCs, a new battalion of mechanized infantry, and a paratrooper battalion trained in the new U.S.-built school. They also had 12 battalions of artillery and six batteries of 81 mm and 120 mm mortars.;;;;;;;;;;X
EVT_8007674_A;아랍 형제들과 함께 한다.;Join the Arab brothers;;;;;;;;;;X
EVT_8007674_B;이번에는 뒤로 빠진다.;Stay out this time;;;;;;;;;;X
EVT_8007676_NAME;6일 전쟁 승리;Victory in Arab-Israeli War of 1967;;;;;;;;;;X
EVT_8007676_DESC;이스라엘은 6일 간의 전쟁 끝에 골란고원에서의 마지막 공세를 끝냈고, 그 다음날 휴전을 체결했습니다. 이스라엘은 가자지구, 시나이반도, 요르단강 서안(동예루살렘 포함), 골란고원을 점령했습니다. 전반적으로, 이스라엘의 영토는 3배 성장했는데, 단적으로 새 점령지의 아랍인 약 100만 명이 이스라엘의 직접적인 지배하에 놓였습니다. 이스라엘의 전략적 표면은 적어도 남쪽 300km, 동쪽 60km, 북쪽 20km의 극도로 험준한 지형까지 성장했는데, 이는 6년 뒤 욤키푸르 전쟁에서 유용하게 쓰일 안보 자산입니다.;Historically, after six days of the conflict, Israel had completed its final offensive in the Golan Heights, and a ceasefire was signed the day after. Israel had seized the Gaza Strip, the Sinai Peninsula, the West Bank of the Jordan River (including East Jerusalem), and the Golan Heights. Overall, Israel's territory grew by a factor of three, including about one million Arabs placed under Israel's direct control in the newly captured territories. Israel's strategic depth grew to at least 300 kilometers in the south, 60 kilometers in the east, and 20 kilometers of extremely rugged terrain in the north, a security asset that would prove useful in the Yom Kippur War six years later.;;;;;;;;;;X
EVT_8007676_A;평화의 때다.;It is time for peace;;;;;;;;;;X
