CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
nuclear_power_ge_title;국내 원자력 발전 시행;Implement Nuclear Power in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
geothermal_energy_ge_desc;지열 발전은 비용에 비해 효율이 좋고, 안정적이며, 지속 가능하고, 환경 친화적인 지열을 이용해 전기를 생산합니다. 역사적으로 지열 발전은 지각판 경계 근처에서만 가능했으나, 최근의 기술 발전으로 광범위한 활용이 가능해지고 있습니다. ;Geothermal power is cost-effective, reliable, sustainable, and environmentally friendly, but has historically been limited to areas near tectonic plate boundaries. Recent technological advances have dramatically expanded the range and size of viable resources, especially for applications such as home heating, opening a potential for widespread exploitation. Geothermal wells release greenhouse gases trapped deep within the earth, but these emissions are much lower per energy unit than those of fossil fuels. The Earth's geothermal resources are theoretically more than adequate to supply humanity's energy needs, but only a very small fraction may be profitably exploited. Drilling and exploration for deep resources is very expensive. Forecasts for the future of geothermal power depend on assumptions about technology, energy prices, subsidies, plate boundary movement and interest rates.;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_timer;최근 기후변화 정상회담 개최;Recently Hosted a Climate Change Summit;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_title;기후변화 정상회담 개최 제안;Propose a new Climate Change Summit;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_1_title;기후변화 정상회담 개최 제안;Propose a new Climate Change Summit;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_1_desc;지구 온도의 상승을 막고 지구온난화의 파장을 지연하기 위해 기후변화 정상회담을 제안할 수 있습니다. 회담의 성패는 세계 각국 정부의 이해관계와 이념에 좌우됩니다.;We can propose a new Climate Change Summit to help stem the rising Global Temperatures and delay the onset on greater impacts from Global Warming. The success of the Conference will depend on your relations with the rest of the world and the ideologies of the different world governments.;;;;;;;;x;;;;;;;;;;;;;
new_climate_deal_desc;지구 온도의 상승을 막고 지구온난화의 파장을 지연하기 위해 기후변화 정상회담을 제안할 수 있습니다. 회담의 성패는 세계 각국 정부의 이해관계와 이념에 좌우됩니다.;We can propose a new Climate Change Summit to help stem the rising Global Temperatures and delay the onset on greater impacts from Global Warming. The success of the Conference will depend on your relations with the rest of the world and the ideologies of the different world governments.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411120;$YEAR$년, 기후 변화 위기를 해결하기 위해 기후변화 정상회담이 열렸습니다. 회담은 국제연합의 후원을 받아 세계 거의 모든 국가가 참석하여 이산화탄소 배출 통제량의 상당한 증가와 여러 형태의 환경오염의 감소를 제안했으며, 향후 수십년 간의 기후 변화 대처 지침을 제시했습니다.;A Climate Change Conference was held in$YEAR$ to dicuss the ongoing Climate Change Crisis. The Conference proposed significant increases in Carbon Dioxide emissions control and decreases in other forms of pollution. The event was sponsored by the United Nations and was attended by almost every nation in the world. The Conference also set out guidelines on how to tackle Climate Change in the coming decades. The Conference ended with the participating nations plegding to halt Climate Change though disagreements between how to acheive the aim continues.;;;;;;;;x;;;;;;;;;;;;;
join_ipcc_title;기후변화에 관한 정부간 패널 참여;Join the Inter-Governmental Panel on Climate Change;;;;;;;;x;;;;;;;;;;;;;
join_ipcc_desc;기후변화에 관한 정부간 패널은 기후 변화와 기후 변화의 정치적 경제적 영향에 대한 객관적이고 과학적인 견해를 세계에 제공하는 임무를 전담합니다. 1988년 세계기상기구와 국제연합 환경계획의 두 기구에서 처음 설립됐으며, 이후 결의안 43/53을 통해 유엔 총회에서 승인됐습니다. IPCC는 기후변화에 관한 주요 국제협약인 국제연합 기후변화협약을 지지하는 보고서를 생산합니다. 국제연합 기후변화협약의 최종 목표는 '기후체계에 대한 위험한 인공적 간섭을 방지하는 수준에서 대기 중의 온실 가스 농도를 안정화하는 것'입니다. 기후변동에 관한 정부간 패널 보고서는 '인간으로 인한 기후 변화 위험의 과학적 근거, 잠재적 영향 및 적응과 완화를 위한 선택사항 이해와 관련된 과학적, 기술적, 사회 경제적 정보를 다룬다'고 설명합니다.;The Intergovernmental Panel on Climate Change (IPCC) is a scientific and intergovernmental body under the auspices of the United Nations, set up at the request of member governments, dedicated to the task of providing the world with an objective, scientific view of climate change and its political and economic impacts. It was first established in 1988 by two United Nations organisations, the World Meteorological Organisation (WMO) and the United Nations Environment Programme (UNEP), and later endorsed by the United Nations General Assembly through Resolution 43/53. Membership of the IPCC is open to all members of the WMO and UNEP. The IPCC produces reports that support the United Nations Framework Convention on Climate Change (UNFCCC), which is the main international treaty on climate change. The ultimate objective of the UNFCCC is to "stabilise greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system". IPCC reports cover "the scientific, technical and socio-economic information relevant to understanding the scientific basis of risk of human-induced climate change, its potential impacts and options for adaptation and mitigation.";;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411100;찰스 데이비드 켈링은 자신이 개발한 장비를 사용하여 하와이와 남극에서 체계적인 이산화탄소 측정을 시작했습니다. 이산화탄소 농도가 상승하고 있다는 최초의 명확한 증거를 제공한 이 계획은 현재도 진행중입니다.;Using equipment he had developed himself, Charles David (Dave) Keeling begins systematic measurements of atmospheric CO2 at Mauna Loa in Hawaii and in Antarctica. Within four years, the project - which continues today - provides the first unequivocal proof that CO2 concentrations are rising.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411101;1968년 스웨덴이 환경과 인간의 상호작용에 중점을 둔 국제연합 회의를 개최하자고 경제사회이사회에 제안했습니다. 경제사회이사회는 이러한 제안을 지지하는 1346호 결의안을 통과시켰습니다. 1969년, 2398호 결의안은 1972년에 회의를 소집하기로 하고 국제연합 사무총장의 보고를 의무화하면서 환경 문제에 직면한 '국가정부와 국제기구의 행동지침 임상실험 및 제공'에 초점을 맞추도록 했습니다. 스톡홀름에서 '국제연합 인간환경회의'라는 환경회의가 처음 열렸으나 화학오염, 원자폭탄 실험, 고래잡이와 같은 의제들은 거의 포함하지 않았습니다.;Sweden first suggested to ECOSOC in 1968 the idea of having a UN conference to focus on human interactions with the environment. ECOSOC passed resolution 1346 supporting the idea. General Assembly Resolution 2398 in 1969 decided to convene a conference in 1972 and mandated a set of reports from the UN secretary-general suggesting that the conference focus on "stimulating and providing guidelines for action by national government and international organizations" facing environmental issues. First UN environment conference, in Stockholm. Climate change hardly registers on the agenda, which centres on issues such as chemical pollution, atomic bomb testing and whaling. The United Nations Environment Programme (Unep) is formed as a result.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411102;미국의 과학자 월러스 브로커는 과학 논문 제목에서 "지구온난화"라는 용어를 사용해 대중에게 널리 알렸습니다. 지구온난화와 기후 변화는 지구 기후 체계의 평균 온도에서 관측된 세기 규모의 상승과 이와 관련된 영향을 나타내는 용어입니다. 여러 과학적 증거들이 지구가 따뜻해지고 있다는 것을 보여줍니다. 지표면 근처 대기온도의 증가가 종종 대중 매체에 보도되는 지구온난화의 척도이지만, 1970년 이후 대부분의 에너지는 바다로 흘러 들어가 얼음을 녹이고 대륙과 대기를 따뜻하게 했습니다. 1950년대 이후 수만년에서 수천년 동안 관찰되지 않았던 많은 변화들이 관찰되고 있습니다.;US scientist Wallace Broecker puts the term "global warming" into the public domain in the title of a scientific paper. Global warming and climate change are terms for the observed century-scale rise in the average temperature of the Earth's climate system and its related effects. Multiple lines of scientific evidence show that the climate system is warming. Although the increase of near-surface atmospheric temperature is the measure of global warming often reported in the popular press, most of the additional energy stored in the climate system since 1970 has gone into the oceans. The rest has melted ice and warmed the continents and atmosphere. Many of the observed changes since the 1950s are unpresidented over tens to thousands of years.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411103;기후변화에 관한 정부간 패널은 기후 변화와 그것의 정치적 경제적 영향에 대한 객관적이고 과학적인 견해를 세계에 제공하는 임무를 전담합니다. 1988년 세계기상기구와 국제연합 환경계획의 두 기구에서 처음 설립됐으며, 이후 결의안 43/53을 통해 국제연합 총회에서 승인됐습니다. IPCC는 기후변화에 관한 주요 국제협약인 국제연합 기후변화협약을 지지하는 보고서를 생산합니다. 국제연합 기후변화협약의 최종 목표는 "기후 시스템에 대한 위험한 인공적 간섭을 방지하는 수준에서 대기 중의 온실 가스 농도를 안정화"하는 것입니다. 기후변동에 관한 정부간 패널 보고서는 "인간으로 인한 기후 변화 위험의 과학적 근거, 잠재적 영향 및 적응과 완화를 위한 선택사항 이해와 관련된 과학적, 기술적, 사회 경제적 정보를 다룬다"고 설명합니다.;The Intergovernmental Panel on Climate Change (IPCC) is a scientific and intergovernmental body under the auspices of the United Nations, set up at the request of member governments, dedicated to the task of providing the world with an objective, scientific view of climate change and its political and economic impacts. It was first established in 1988 by two United Nations organisations, the World Meteorological Organisation (WMO) and the United Nations Environment Programme (UNEP), and later endorsed by the United Nations General Assembly through Resolution 43/53. Membership of the IPCC is open to all members of the WMO and UNEP. The IPCC produces reports that support the United Nations Framework Convention on Climate Change (UNFCCC), which is the main international treaty on climate change. The ultimate objective of the UNFCCC is to "stabilise greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system". IPCC reports cover "the scientific, technical and socio-economic information relevant to understanding the scientific basis of risk of human-induced climate change, its potential impacts and options for adaptation and mitigation.";;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411104;기후변화에 관한 정부간 패널의 첫 평가보고서는 1990년에 나왔습니다. 정책 입안자들을 위해 평가보고서를 요약하자면 인간의 활동이 온실가스의 대기 중 농도를 실질적으로 증가시키고 평균 지구 표면의 추가적인 온난화를 초래하고 있다는 것을 확신하며, 이산화탄소가 늘어난 온실 효과의 절반 이상을 차지한다고 자부합니다. 그들은 '이대로의 강도를 유지하는 시나리오'라면 21세기 동안 지구 평균 기온이 10년마다 약 섭씨 0.3도씩 상승할 것이라고 예측합니다.;The IPCC first assessment report was completed in 1990, and served as the basis of the UNFCCC. The executive summary of the WG I Summary for Policymakers report says they are certain that emissions resulting from human activities are substantially increasing the atmospheric concentrations of the greenhouse gases, resulting on average in an additional warming of the Earth's surface. They calculate with confidence that CO2 has been responsible for over half the enhanced greenhouse effect. They predict that under a "business as usual" (BAU) scenario, global mean temperature will increase by about 0.3캜 per decade during the 21st century. They judge that global mean surface air temperature has increased by 0.3 to 0.6캜 over the last 100 years, broadly consistent with prediction of climate models, but also of the same magnitude as natural climate variability. The unequivocal detection of the enhanced greenhouse effect is not likely for a decade or more.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411105;오존층을 고갈시키는 물질에 관한 몬트리올 의정서는 오존 파괴의 원인이 되는 수많은 물질의 생산을 단계적으로 중단함으로써 오존층을 보호하기 위한 국제조약입니다.;The Montreal Protocol on Substances that Deplete the Ozone Layer (a protocol to the Vienna Convention for the Protection of the Ozone Layer) is an international treaty designed to protect the ozone layer by phasing out the production of numerous substances that are responsible for ozone depletion. The treaty is structured around several groups of halogenated hydrocarbons that deplete stratospheric ozone. All of the ozone depleting substances controlled by the Montreal Protocol contain either chlorine or bromine (substances containing only fluorine do not harm the ozone layer). Some ozone-depleting substances (ODSs) are not yet controlled by the Montreal Protocol, including nitrous oxide (N2O). For each group of ODSs, the treaty provides a timetable on which the production of those substances must be shot out and eventually eliminated.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411106;히우지자네이루에서 열린 정상회의는 국제연합 회의 중에서도 규모와 관심의 범위 면에서 전례가 없을 정도로 큰 규모였습니다. 첫 지구 환경 회의로부터 20년 후, 국제연합은 정부들이 경제발전을 재고하고 대체할 수 없는 천연자원의 파괴와 지구의 오염을 막을 수 있는 방법을 찾도록 도와주려고 노력했습니다. 히우지자네이루에는 각계각층의 수십만 명이 몰렸습니다. 그들은 몇 세대에 걸쳐 건강한 행성을 보장하기 위해 다소 어려운 결정을 내리도록 지도자들을 설득했습니다. 우리의 태도와 행동의 변화가 필요한 변화를 가져올 것이라는 정상회담의 메시지는 거의 10,000명에 달하는 현장 기자들을 통해 전세계인에게 전해졌습니다. 메시지는 우리가 직면한 문제의 복잡성 및 빈곤, 부유한 사람들의 과소비가 환경에 해를 끼치는 스트레스를 준다는 것을 반영했습니다. 각국 정부는 모든 경제적 의사결정이 환경에 미치는 영향을 완전히 고려하도록 국제 및 국가 계획과 정책을 재연결할 필요성을 인식했습니다. 그리고 그 메세지는 결과를 낳아, 기업이나 정부나 마찬가지로 환경 효율화를 지도하는 원칙으로 하고 있습니다.;The Earth Summit in Rio de Janeiro was unprecedented for a UN conference, in terms of both its size and the scope of its concerns. Twenty years after the first global environment conference, the UN sought to help Governments rethink economic development and find ways to halt the destruction of irreplaceable natural resources and pollution of the planet. Hundreds of thousands of people from all walks of life were drawn into the Rio process. They persuaded their leaders to go to Rio and join other nations in making the difficult decisions needed to ensure a healthy planet for generations to come. The Summit뭩 message ?that nothing less than a transformation of our attitudes and behaviour would bring about the necessary changes ?was transmitted by almost 10,000 on-site journalists and heard by millions around the world. The message reflected the complexity of the problems facing us, that poverty as well as excessive consumption by affluent populations place damaging stress on the environment. Governments recognized the need to redirect international and national plans and policies to ensure that all economic decisions fully took into account any environmental impact. And the message has produced results, making eco-efficiency a guiding principle for business and governments alike.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411107;1996년에 발간된 기후변화에 관한 정부간 패널의 제2차 평가보고서는 기후변화에 관한 과학 및 사회경제 정보에 대한 평가입니다. 그들은 이산화탄소가 여전히 기후 변화의 인공적인 강제력에 가장 중요한 원인이 되고 있으며 인간의 활동 가능성이 미래의 지구 평균 온도 변화와 해수면 상승에 대한 예측은 지구의 기후를 일정 시간 내에 전례 없는 수준으로 변화시킬 수 있다고 말합니다.;The Second Assessment Report (SAR) of the Intergovernmental Panel on Climate Change (IPCC), published in 1996, is an assessment of the then available scientific and socio-economic information on climate change. Working Group I, dealing with the scientific aspects of climate, stated that carbon dioxide remains the most important contributor to anthropogenic forcing of climate change; projections of future global mean temperature change and sea level rise confirm the potential for human activities to alter the Earth's climate to an extent unprecedented in human history; and the long time-scales governing both the accumulation of greenhouse gases in the atmosphere and the response of the climate system to those accumulations, means that many important aspects of climate change are effectively irreversible.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411108;교토 의정서는 (a)지구온난화가 존재하고 (b)인간의 이산화탄소 배출이 이를 초래했다는 전제 하에, 온실가스 감축을 주 당사자에게 위임하는 1992년 국제연합 기후변화협약을 확대하는 국제조약입니다.;The Kyoto Protocol is an international agreement linked to the United Nations Framework Convention on Climate Change, which commits its Parties by setting internationally binding emission reduction targets. Recognising that developed countries are principally responsible for the current high levels of GHG emissions in the atmosphere as a result of more than 150 years of industrial activity, the Protocol places a heavier burden on developed nations under the principle of "common but differentiated responsibilities." The Kyoto Protocol was adopted in Kyoto, Japan, on 11 December 1997 and entered into force on 16 February 2005. The detailed rules for the implementation of the Protocol were adopted at COP 7 in Marrakesh, Morocco, in 2001, and are referred to as the "Marrakesh Accords." Its first commitment period started in 2008 and ended in 2012.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411108;교토 의정서는 (a)지구온난화가 존재하고 (b)인간의 이산화탄소 배출이 이를 초래했다는 전제 하에, 온실가스 감축을 주 당사자에게 위임하는 1992년 국제연합 기후변화협약을 확대하는 국제조약입니다.;The Kyoto Protocol is an international agreement linked to the United Nations Framework Convention on Climate Change, which commits its Parties by setting internationally binding emission reduction targets. Recognising that developed countries are principally responsible for the current high levels of GHG emissions in the atmosphere as a result of more than 150 years of industrial activity, the Protocol places a heavier burden on developed nations under the principle of "common but differentiated responsibilities." The Kyoto Protocol was adopted in Kyoto, Japan, on 11 December 1997 and entered into force on 16 February 2005. The detailed rules for the implementation of the Protocol were adopted at COP 7 in Marrakesh, Morocco, in 2001, and are referred to as the "Marrakesh Accords." Its first commitment period started in 2008 and ended in 2012.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411109;강력한 엘니뇨 현상은 지구온난화와 결합해 역사상 가장 따뜻한 해를 만들어냅니다. 1961-90년 동안의 지구 평균 기온은 평시보다 0.52C 높았습니다.;Strong El Nino conditions combine with global warming to produce the warmest year on record. The average global temperature reached 0.52C above the mean for the period 1961-90 (a commonly used baseline).;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411110;IPCC 제3차 평가보고서는 20세기 후반의 온난화의 주요 원인이 인간의 온실 가스 배출이라는 "새로운 더 강력한 증거"를 말합니다.;IPCC Third Assessment Report finds "new and stronger evidence" that humanity's emissions of greenhouse gases are the main cause of the warming seen in the second half of the 20th Century.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411111;코펜하겐 협정은 정부의 관점이 강하게 수렴되는 몇 가지 핵심 요소를 포함하고 있습니다. 여기에는 2015년 검토 대상이었던 최대 지구 평균 기온 상승폭을 산업화 이전보다 섭씨 2도 이하로 제한한다는 장기 목표가 포함되었습니다. 하지만, 이것을 어떻게 실천하는지에 대해서는 합의가 이루어지지 않았습니다. 또한 개발도상국에게도 온도 상승을 섭씨 1.5도 이하로 제한하는 것도 고려되었습니다.;The Copenhagen Accord contained several key elements on which there was strong convergence of the views of governments. This included the long-term goal of limiting the maximum global average temperature increase to no more than 2 degrees Celsius above pre-industrial levels, subject to a review in 2015. There was, however, no agreement on how to do this in practical terms. It also included a reference to consider limiting the temperature increase to below 1.5 degrees - a key demand made by vulnerable developing countries.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1411115;파리 기후협약의 핵심 목표는 금세기의 지구 기온 상승을 산업화 이전보다 섭씨 2도 이상 낮게 유지함으로써 기후변화의 위협에 대한 세계적 대응을 강화하고, 기온 상승을 1.5도까지 제한하는 노력을 추진하는 것입니다.;The Paris Agreement builds upon the Convention and ?for the first time ?brings all nations into a common cause to undertake ambitious efforts to combat climate change and adapt to its effects, with enhanced support to assist developing countries to do so. As such, it charts a new course in the global climate effort. The Paris Agreement뭩 central aim is to strengthen the global response to the threat of climate change by keeping a global temperature rise this century well below 2 degrees Celsius above pre-industrial levels and to pursue efforts to limit the temperature increase even further to 1.5 degrees Celsius. Additionally, the agreement aims to strengthen the ability of countries to deal with the impacts of climate change. To reach these ambitious goals, appropriate financial flows, a new technology framework and an enhanced capacity building framework will be put in place, thus supporting action by developing countries and the most vulnerable countries, in line with their own national objectives. The Agreement also provides for enhanced transparency of action and support through a more robust transparency framework.;;;;;;;;x;;;;;;;;;;;;;
four_point_five_degree;세계 평균 기온 편차: 섭씨 4.5도;4.5캜 Global Average Temperature Deviation;;;;;;;;x;;;;;;;;;;;;;
three_degree;세계 평균 기온 편차 섭씨 3도;3.0캜 Global Average Temperature Deviation;;;;;;;;x;;;;;;;;;;;;;
two_degree;세계 평균 기온 편차 섭씨 2도;2.0캜 Global Average Temperature Deviation;;;;;;;;x;;;;;;;;;;;;;
one_degree;세계 평균 기온 편차 섭씨 1도;1.0캜 Global Average Temperature Deviation;;;;;;;;x;;;;;;;;;;;;;
paris_climate_deal;파리 기후협약 조인국;Paris Climate Deal Signatory;;;;;;;;x;;;;;;;;;;;;;
fast_start_finance;녹색기후기금 기부국;Green Climate Fund Contributor;;;;;;;;x;;;;;;;;;;;;;
copenhagen_accord;코펜하겐 협정 조인국;Copagenhagen Accord Signatory;;;;;;;;x;;;;;;;;;;;;;
copenhagen_accord;코펜하겐 협정 조인국;Copagenhagen Accord Signatory;;;;;;;;x;;;;;;;;;;;;;
earth_summit;기후변화협약 조인국;Member of the United Framework Convention on Climate Change;;;;;;;;x;;;;;;;;;;;;;
montreal_protocol;몬트리올 의정서 조인국;Montreal Protocol Signatory;;;;;;;;x;;;;;;;;;;;;;
kyoto_protocol;교토 의정서 비준국;Ratified Kyoto Protocol;;;;;;;;x;;;;;;;;;;;;;
ipcc_member;기후변화에 관한 정부간 패널 회원국;Inter-Governmental Panel on Climate Change Member;;;;;;;;x;;;;;;;;;;;;;
montreal_protocol_title;몬트리올 의정서 조인;Sign the Montreal Protocol;;;;;;;;x;;;;;;;;;;;;;
montreal_protocol_desc;오존층을 고갈시키는 물질에 관한 몬트리올 의정서는 오존 파괴의 원인이 되는 수많은 물질의 생산을 단계적으로 중단함으로써 오존층을 보호하기 위한 국제조약입니다.;The Montreal Protocol on Substances that Deplete the Ozone Layer (a protocol to the Vienna Convention for the Protection of the Ozone Layer) is an international treaty designed to protect the ozone layer by phasing out the production of numerous substances that are responsible for ozone depletion. The treaty is structured around several groups of halogenated hydrocarbons that deplete stratospheric ozone. All of the ozone depleting substances controlled by the Montreal Protocol contain either chlorine or bromine (substances containing only fluorine do not harm the ozone layer). Some ozone-depleting substances (ODSs) are not yet controlled by the Montreal Protocol, including nitrous oxide (N2O). For each group of ODSs, the treaty provides a timetable on which the production of those substances must be shot out and eventually eliminated.;;;;;;;;x;;;;;;;;;;;;;
kyoto_protocol_title;교토 의정서 비준;Ratify the Kyoto Protocol;;;;;;;;x;;;;;;;;;;;;;
kyoto_protocol_desc;교토 의정서는 (a)지구온난화가 존재하고 (b)인간의 이산화탄소 배출이 이를 초래했다는 전제 하에, 온실가스 감축을 주 당사자에게 위임하는 1992년 국제연합 기후변화협약을 확대하는 국제조약입니다.;The Kyoto Protocol is an international treaty which extends the 1992 United Nations Framework Convention on Climate Change (UNFCCC) that commits State Parties to reduce greenhouse gas emissions, based on the premise that (a) global warming exists and (b) human-made CO2 emissions have caused it. The Kyoto Protocol was adopted in Kyoto, Japan, on 11 December 1997 and entered into force on 16 February 2005. There are currently 192 parties (Canada withdrew effective December 2012) to the Protocol. The main goal of the Kyoto Protocol is to control emissions of the main anthropogenic (i.e., human-emitted) greenhouse gases (GHGs) in ways that reflect underlying national differences in GHG emissions, wealth, and capacity to make the reductions.;;;;;;;;x;;;;;;;;;;;;;
fast_start_finance_title;녹색기후기금 계획 참여;Participate in the Green Climate Fund Scheme;;;;;;;;x;;;;;;;;;;;;;
fast_start_finance_desc;녹색기후기금은 개발도상국이 기후 변화에 적응하고 그 피해를 완하하기 위해 설립된 기금입니다. 이 기금은 한국의 송도에 본부를 두었습니다.;The Green Climate Fund (GCF) is a fund within the framework of the UNFCCC founded as a mechanism to assist developing countries in adaptation and mitigation practices to counter climate change. The GCF is based in the new Songdo district of Incheon, South Korea. It is governed by a Board of 24 members and initially supported by a Secretariat.;;;;;;;;x;;;;;;;;;;;;;
paris_climate_deal_title;파리 기후협약 비준;Ratify the Paris Climate Deal;;;;;;;;x;;;;;;;;;;;;;
