MANCAN_5_DESC;$FROMCOUNTRY$의 민주주의가 손상될 것을 우려한 $COUNTRY$(은)는 점점 더 혼란스러워지는 정국을 틈타 독립하기로 결정했습니다.;$COUNTRY$, fearing the loss of democracy in $FROMCOUNTRY$, has decided to secede to be a democractic nation free from the increasingly chaotic state of affairs in $FROMCOUNTRY$.;;;;;;;;;;x
MANCAN_5_A;자유!;Liberty!;;;;;;;;;;x
MANCAN_FOIL_NAME;$FROMCOUNTRY$의 음모 실패!;$FROMCOUNTRY$'s conspiracy foiled!;;;;;;;;;;x
MANCAN_FOIL_DESC;$FROMCOUNTRY$(은)는 잠자는 요원을 이용하여 우리 정부의 통제력을 훼손하려 했습니다. 고맙게도 우리 정보요원들이 그 음모를 찾아내준 덕분에 제때에 상대 요원을 체포할 수 있었습니다.;$FROMCOUNTRY$ attempted to undermine and seize control of our government with sleeper agents. Thankfully, our intelligence agents were able to discover the plot and apprehend the agents in time.;;;;;;;;;;x
MANCAN_FOIL_A;악몽이나 다름없군!;A nightmare averted!;;;;;;;;;;x
MANCAN_CSA_NAME;남부맹방의 확장;Enlargement of the CSA;;;;;;;;;;x
MANCAN_CSA_DESC;더 많은 옛 남부맹방 지역들이 $COUNTRY$에 재가입하여 양키에 대항하는 자유 투쟁에 참여하기로 결정했습니다.;More former Confederate territories have decided to rejoin $COUNTRY$ and the fight for freedom against the Yanks.;;;;;;;;;;x
MANCAN_CSA_A;남부는 떠오른다!;The South has risen!;;;;;;;;;;x
MANCAN_UN_NAME;국제연합 본부 $CAPITAL$(으)로 이전;UN Headquarters Relocates to $CAPITAL$;;;;;;;;;;x
MANCAN_UN_DESC;$FROMCOUNTRY$의 정치 상황으로 인해 위험을 느낀 국제연합은 $CAPITAL$의 중심가에 있는 건물로 본부를 영구 이전할 것을 요청했습니다.;Due to existential danger caused by the political situation in $FROMCOUNTRY$, the United Nations have humbly requested to relocate to a building in the center of $CAPITAL$ - permanently.;;;;;;;;;;x
MANCAN_UN_A;물론. 그들은 자유의 보루를 선택했다.;Of course. They have chosen a bastion of freedom.;;;;;;;;;;x
